"name","group","element","units","context","S3380","S3381","S3382","S3383","S3384","S3385","S3386","S3387","S3388","S3389","S3390","S3391","S3392","S3393","S3394","S3395","S3396","S3397","S3398","S3399","S3400","S3401","S3402","S3403","S3404","S3405","S3406","S3407","S3408","S3409","S3410","S3411","S3412","S3413","S3414","S3415","S3416","S3417","S3418","S3419","S3420","S3421","S3422","S3423","S3424","S3425","S3426","S3427","S3428","S3429","S3430","S3431","S3432","S3433","S3434","S3435","S3436","S3437","S3438","S3439","S3440","S3441","S3442","S3443","S3444","S3445","S3446","S3447","S3448","S3449","S3450","S3451","S3452","S3453","S3454","S3455","S3456","S3457","S3458","S3459","S3460","S3461","S3462","S3463","S3464","S3465","S3466","S3467","S3468","S3469","S3470"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,0.5,2.5,4,6,8.5,10.5,12.5,14.5,16.5,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62.5,65,67.5,70,75,77.5,80,82.5,85,87.5,90,92.5,95,97.5,100,102.5,105,107.5,110,112.5,115,117.5,120,125,130,135,140,145,150,155,160,165,175,185,195,205,215,225,230,235,245,260,267,275,285,295,305,315,325,335,338,345,348,358,368,378,382,387,392
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,3380,3381,3382,3383,3384,3385,3386,3387,3388,3389,3390,3391,3392,3393,3394,3395,3396,3397,3398,3399,3400,3401,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3413,3414,3415,3416,3417,3418,3419,3420,3421,3422,3423,3424,3425,3426,3427,3428,3429,3430,3431,3432,3433,3434,3435,3436,3437,3438,3439,3440,3441,3442,3443,3444,3445,3446,3447,3448,3449,3450,3451,3452,3453,3454,3455,3456,3457,3458,3459,3460,3461,3462,3463,3464,3465,3466,3467,3468,3469,3470
Wang et al.,Calendar years BP,,,,-19/-22/-25,-15/-18/-22,4/-4/-14,19/6/-8,40/20/-1,66/38/7,86/57/27,160/93/45,260/128/53,364/163/57,441/189/60,546/224/63,559/254/83,579/284/94,604/314/102,639/345/110,689/375/118,697/404/157,708/434/178,729/463/196,751/492/210,791/522/219,801/552/293,817/582/361,832/612/410,852/641/449,885/671/472,898/697/527,920/723/555,950/749/569,999/774/578,1070/800/585,1094/827/607,1119/854/620,1160/882/634,1217/909/645,1261/959/700,1289/985/716,1326/1010/726,1340/1037/761,1357/1064/783,1385/1091/797,1427/1118/812,1441/1146/850,1461/1175/878,1487/1203/896,1525/1232/914,1539/1258/974,1557/1284/1004,1577/1310/1033,1613/1337/1047,1628/1363/1110,1644/1390/1166,1664/1417/1202,1697/1444/1226,1751/1513/1331,1905/1583/1358,2003/1664/1408,2190/1745/1432,2246/1827/1500,2371/1908/1532,2427/1986/1604,2529/2065/1644,2573/2141/1719,2684/2291/1841,2782/2449/2015,2875/2611/2258,2964/2747/2439,3088/2849/2555,3189/2938/2666,3262/2984/2711,3293/3029/2807,3467/3181/2939,3979/3522/3101,4060/3693/3263,4189/3880/3575,4379/4106/3819,4646/4326/3993,4843/4506/4149,5030/4628/4251,5170/4728/4357,5283/4834/4476,5317/4868/4506,5428/5088/4804,5496/5206/4895,5756/5440/5059,5942/5634/5253,6194/5823/5417,6343/5894/5450,6552/5978/5488,6749/6063/5531
SKOPE,Calibrated radiocarbon years BP,,,,-19/-22/-25,-13/-18/-23,19/-3/-20,43/9/-19,62/24/-6,72/43/16,90/61/34,144/89/48,221/116/54,262/145/69,293/166/77,355/194/83,380/224/107,421/254/121,462/284/144,494/314/166,536/343/180,558/373/211,590/404/231,620/433/259,642/462/284,680/491/304,700/521/340,728/550/367,755/580/405,778/609/446,812/638/474,833/666/517,866/695/542,895/721/563,921/744/579,959/767/590,988/796/614,1033/826/633,1062/855/662,1103/885/683,1170/947/735,1199/977/765,1241/1006/786,1267/1036/817,1302/1066/840,1326/1096/873,1361/1125/895,1390/1154/930,1425/1183/955,1451/1211/989,1482/1240/1014,1509/1270/1050,1542/1299/1075,1568/1329/1113,1603/1358/1141,1629/1387/1183,1659/1416/1210,1681/1445/1252,1712/1474/1281,1775/1537/1351,1866/1611/1404,1954/1687/1460,2039/1761/1519,2130/1837/1582,2210/1911/1640,2284/1986/1711,2365/2062/1775,2438/2139/1843,2578/2289/1987,2713/2441/2140,2834/2592/2299,2948/2743/2463,3101/2865/2585,3235/2988/2718,3298/3050/2788,3356/3112/2863,3538/3271/3013,3872/3578/3275,3989/3722/3432,4144/3886/3607,4360/4093/3825,4595/4299/4005,4800/4498/4189,4989/4645/4317,5154/4791/4459,5298/4935/4613,5330/4981/4678,5466/5137/4824,5507/5212/4915,5722/5415/5090,5893/5607/5264,6079/5786/5417,6180/5851/5466,6295/5932/5523,6409/6014/5579
NAPD 1,Radiocarbon years BP,,,,--/0/--,--/3/--,--/14/--,--/23/--,--/34/--,--/49/--,--/60/--,--/94/--,--/129/--,--/163/--,--/189/--,--/223/--,--/257/--,--/291/--,--/326/--,--/360/--,--/394/--,--/429/--,--/463/--,--/497/--,--/531/--,--/566/--,--/600/--,--/634/--,--/669/--,--/703/--,--/737/--,--/771/--,--/796/--,--/818/--,--/840/--,--/861/--,--/889/--,--/916/--,--/943/--,--/970/--,--/1024/--,--/1051/--,--/1079/--,--/1106/--,--/1133/--,--/1160/--,--/1187/--,--/1214/--,--/1241/--,--/1269/--,--/1296/--,--/1323/--,--/1350/--,--/1377/--,--/1404/--,--/1431/--,--/1459/--,--/1486/--,--/1513/--,--/1578/--,--/1654/--,--/1731/--,--/1807/--,--/1883/--,--/1960/--,--/2036/--,--/2112/--,--/2189/--,--/2341/--,--/2494/--,--/2647/--,--/2772/--,--/2817/--,--/2863/--,--/2885/--,--/2908/--,--/3109/--,--/3489/--,--/3667/--,--/3870/--,--/4158/--,--/4459/--,--/4706/--,--/4874/--,--/5042/--,--/5210/--,--/5261/--,--/5378/--,--/5423/--,--/5565/--,--/5707/--,--/5850/--,--/5906/--,--/5977/--,--/6048/--
NAPD 2,Radiocarbon years BP,,,,--/0/--,--/3/--,--/14/--,--/23/--,--/34/--,--/49/--,--/60/--,--/94/--,--/129/--,--/163/--,--/189/--,--/223/--,--/257/--,--/291/--,--/326/--,--/360/--,--/394/--,--/429/--,--/463/--,--/497/--,--/531/--,--/566/--,--/600/--,--/634/--,--/669/--,--/703/--,--/737/--,--/771/--,--/796/--,--/818/--,--/840/--,--/861/--,--/889/--,--/916/--,--/943/--,--/970/--,--/1024/--,--/1051/--,--/1079/--,--/1106/--,--/1133/--,--/1160/--,--/1187/--,--/1214/--,--/1241/--,--/1269/--,--/1296/--,--/1323/--,--/1350/--,--/1377/--,--/1404/--,--/1431/--,--/1459/--,--/1486/--,--/1513/--,--/1576/--,--/1647/--,--/1718/--,--/1789/--,--/1861/--,--/1932/--,--/2003/--,--/2074/--,--/2146/--,--/2288/--,--/2431/--,--/2573/--,--/2690/--,--/2732/--,--/2773/--,--/2794/--,--/2815/--,--/2977/--,--/3281/--,--/3422/--,--/3584/--,--/3796/--,--/4011/--,--/4189/--,--/4299/--,--/4409/--,--/4519/--,--/4552/--,--/4629/--,--/4668/--,--/4820/--,--/4972/--,--/5124/--,--/5185/--,--/5261/--,--/5337/--
Abies,TRSH,pollen,NISP,,6,6,4,4,5,5,6,2,6,5,3,5,5,,1,2,1,2,2,5,8,3,4,2,11,5,1,7,3,1,15,11,12,9,8,3,2,3,,,1,4,,5,2,2,4,3,1,,3,2,4,4,2,9,6,4,6,3,4,3,6,6,3,1,2,4,2,7,13,,11,1,5,1,2,3,3,10,2,2,,27,25,6,,4,1,4,2
Abronia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acer,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,1,1,2,3,4,,,,1,,2,4,1,3,,1,1,,1,,,1,1,,6,6,,2,1,,,,,1,,,5,,1,,3,2,1,,2,1,1,1,1,1,,5,2,,1,1,,,,,,3,1,3,1,1,1,3,1,1,1,,,,,,,,,,,,,1,1,3,39,42,13,18,33
Amaranthaceae undiff.,UPHE,pollen,NISP,,30,30,28,37,32,30,32,25,22,46,25,32,25,33,36,61,37,28,32,34,33,40,18,33,34,31,21,40,32,53,62,33,40,32,61,54,62,27,52,55,47,45,33,28,24,39,34,21,39,42,15,21,35,26,25,49,21,28,23,19,19,33,32,27,23,56,37,34,20,43,19,,24,17,36,43,17,38,16,18,12,26,21,19,36,16,35,19,29,25,66
Ambrosia,UPHE,pollen,NISP,,18,25,12,17,17,10,15,12,15,11,19,10,11,11,14,23,16,17,10,9,15,21,19,34,19,16,15,23,11,29,16,12,17,7,17,14,18,10,12,18,6,11,6,13,16,10,14,8,9,10,8,15,9,10,18,14,6,18,14,14,12,10,17,3,8,28,8,29,10,16,7,,2,12,5,26,9,15,6,10,7,8,14,13,10,5,9,9,18,11,15
Angiospermae undiff. (herbs),UPHE,pollen,NISP,,,10,3,17,11,5,13,3,19,9,6,66,8,13,15,15,8,15,8,7,3,10,9,6,10,8,4,14,11,12,2,16,,14,5,7,13,8,7,4,114,4,15,17,6,6,6,6,3,3,5,3,5,2,3,2,6,8,3,5,4,3,6,2,6,2,2,6,5,6,,,2,3,7,3,3,6,1,7,16,19,6,3,9,6,2,6,5,5,4
Apiaceae,UPHE,pollen,NISP,,3,1,3,2,3,5,5,4,,1,,3,4,,4,5,1,1,,,1,2,,3,3,1,2,,,,2,,1,,,,1,2,,,3,2,,1,,1,2,2,3,4,,2,1,2,3,,3,1,,1,7,4,6,2,,4,,3,3,,,,1,,,,,,,1,2,4,3,1,3,,3,3,1,,2
Arceuthobium,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,2,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,1,
Artemisia,UPHE,pollen,NISP,,13,15,25,35,36,45,48,42,48,54,50,60,57,83,106,116,58,77,61,62,38,49,52,32,55,34,61,63,55,59,82,36,73,54,65,61,95,73,80,54,76,64,50,51,66,39,63,53,74,60,41,42,82,36,43,43,38,48,48,52,42,66,59,60,50,60,34,55,40,62,16,,26,14,17,36,13,22,15,26,40,14,23,21,27,29,11,8,13,12,14
Asteraceae undiff.,UPHE,pollen,NISP,,5,11,6,19,15,12,12,9,9,8,4,4,12,14,10,15,16,18,20,15,9,12,15,15,10,16,10,16,6,15,8,7,14,5,13,12,14,15,16,45,7,14,18,23,9,12,16,19,14,26,16,14,9,11,13,6,4,13,4,16,8,9,20,5,14,18,8,11,1,8,5,,5,1,7,5,5,5,8,2,16,18,19,3,5,6,4,5,5,2,3
Berberis,TRSH,pollen,NISP,,,,,2,,,,,,,,,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Betula,TRSH,pollen,NISP,,,,,,,1,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Bistorta officinalis,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botryococcus,ALGA,colony,NISP,,4,20,20,11,3,13,4,1,5,2,4,10,9,3,2,11,17,14,11,15,,,,1,,,,,1,,,,2,5,6,12,2,14,5,3,4,13,2,3,2,1,,1,1,1,,3,2,3,1,5,1,4,1,5,5,12,50,34,2,3,6,,3,1,,,,,,,,2,,2,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,,1,,,,,,,2,,,,,,3,,,1,,,,,,,,,,,,,,,,,1,,,1,1,,,18,36,27,,,,,,1,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,2,,,,,,,,,
Ceanothus,TRSH,pollen,NISP,,,,,,,,,,1,,,,,1,,,1,2,,,,,,,,,,1,2,,,2,,,,2,,1,1,,1,,1,2,,,,,,,,1,,1,,,1,,,,,,,,2,,,1,1,,,,,,,,,1,,,,,,,,,,,,,
Celtis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cichorioideae,UPHE,pollen,NISP,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Cirsium,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clematis-type,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crassulaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,345,403,301,136,108,111,98,133,94,206,143,173,541,496,268,261,179,203,236,351,221,234,121,260,163,217,206,299,77,79,125,90,391,518,359,314,413,530,607,482,125,665,615,257,423,376,335,245,239,145,124,138,511,172,91,259,64,129,23,108,99,303,107,103,149,176,123,121,111,234,103,3,61,27,26,9,30,5,17,136,191,145,100,135,164,261,64,7,45,200,27
Delphinium-type,UPHE,pollen,NISP,,1,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,2,9,,,,,3,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,
