"name","group","element","units","context","S10563","S10564","S10565","S10566","S10567","S10568","S10569","S10570","S10571","S10572","S10573","S10574","S10575","S10576","S10577","S10578","S10579","S10580","S10581","S10582","S10583","S10584","S10585","S10586","S10587","S10588","S10589","S10590","S10591","S10592","S10593","S10594","S10595","S10596","S10597"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0.5,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,10563,10564,10565,10566,10567,10568,10569,10570,10571,10572,10573,10574,10575,10576,10577,10578,10579,10580,10581,10582,10583,10584,10585,10586,10587,10588,10589,10590,10591,10592,10593,10594,10595,10596,10597
NAPD 1,Radiocarbon years BP,,,,--/-1/--,--/173/--,--/366/--,--/559/--,--/751/--,--/944/--,--/1137/--,--/1330/--,--/1523/--,--/1716/--,--/1909/--,--/2101/--,--/2294/--,--/2487/--,--/2680/--,--/2873/--,--/3066/--,--/3259/--,--/3451/--,--/3644/--,--/3837/--,--/4030/--,--/4223/--,--/4416/--,--/4609/--,--/4801/--,--/4994/--,--/5187/--,--/5380/--,--/5573/--,--/5766/--,--/5959/--,--/6151/--,--/6344/--,--/6537/--
SKOPE,Calibrated radiocarbon years BP,,,,53/7/-21,632/195/-11,1004/413/59,1307/630/170,1592/850/296,1895/1072/443,2161/1287/583,2419/1502/737,2662/1723/918,2925/1939/1087,3157/2157/1267,3378/2367/1451,3616/2582/1634,3845/2798/1838,4067/3009/2007,4294/3228/2219,4532/3447/2420,4742/3669/2634,4959/3890/2840,5173/4111/3044,5373/4326/3254,5592/4543/3459,5782/4763/3693,5982/4985/3918,6174/5207/4147,6360/5423/4374,6534/5643/4599,6714/5856/4855,6907/6074/5096,7076/6286/5338,7248/6501/5570,7412/6719/5852,7572/6937/6126,7711/7156/6405,7857/7376/6715
Abies,TRSH,pollen,NISP,,35,4,6,6,5,10,2,5,10,7,11,12,7,5,3,2,4,13,16,11,3,3,7,2,3,5,11,3,6,8,6,10,8,25,2
Acer,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus,TRSH,pollen,NISP,,,1,,,1,,1,1,1,2,,,,4,2,,,,,,,,,,1,1,3,3,,1,4,1,1,3,3
Amaranthaceae undiff.,UPHE,pollen,NISP,,38,19,19,23,23,17,16,12,20,8,14,21,22,21,15,24,16,17,8,11,18,11,12,15,10,12,14,23,14,7,14,22,19,25,17
Ambrosia-type,UPHE,pollen,NISP,,14,8,7,10,11,10,8,3,10,4,10,2,7,15,11,10,8,9,8,1,11,4,8,7,7,7,11,9,3,8,7,5,15,24,8
Apiaceae,UPHE,pollen,NISP,,27,,,2,1,1,,,,,,1,1,,11,2,,1,,,,,,,,,1,1,,,1,1,4,,
Artemisia,UPHE,pollen,NISP,,23,18,29,18,22,21,26,15,10,16,25,22,29,27,26,27,22,10,16,17,14,6,19,12,10,14,11,17,17,18,29,9,11,17,9
Asteraceae (lophate),UPHE,pollen,NISP,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Asteraceae undiff.,UPHE,pollen,NISP,,10,10,6,3,8,5,11,4,2,7,9,5,6,13,6,9,4,5,7,2,2,3,2,4,4,,6,8,3,2,9,5,6,14,7
Betula,TRSH,pollen,NISP,,,,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,
Campanulaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Cannabaceae sensu stricto,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Caryophyllaceae,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,80,37,120,155,237,274,204,77,266,164,200,343,321,159,289,442,184,86,121,208,103,60,165,103,51,218,86,126,142,92,161,96,285,315,65
Ephedra torreyana-type,TRSH,pollen,NISP,,2,,1,1,1,1,,,1,1,1,,,,,,2,,1,,1,,,,,,,1,1,,,,1,2,1
Ephedra viridis-type,TRSH,pollen,NISP,,3,2,2,3,4,2,1,2,1,,,2,,,,,,1,1,,,,1,2,1,,1,1,,1,1,1,,,
Fabaceae,UPHE,pollen,NISP,,2,,,,1,,,1,,1,,,,,,,,,1,1,2,,,,,1,,,,,,,,,
Gentianaceae,UPHE,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,1,,
Juniperus,TRSH,pollen,NISP,,15,13,12,8,19,10,4,12,6,12,5,14,1,13,16,11,11,7,9,1,8,8,7,5,11,13,13,20,7,6,21,16,49,34,11
Lamiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Malvaceae sensu stricto,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Picea,TRSH,pollen,NISP,,132,31,47,60,41,65,54,55,82,60,44,60,74,63,68,45,80,93,99,78,80,76,89,66,89,47,120,136,127,99,40,88,297,346,89
Pinus,TRSH,pollen,NISP,,297,171,191,165,155,150,183,176,147,181,180,157,130,141,154,173,138,151,140,176,156,188,163,185,144,234,139,141,122,143,179,157,256,431,161
Poaceae,UPHE,pollen,NISP,,89,22,18,35,12,12,42,16,13,48,29,11,11,26,31,21,8,10,8,12,6,11,14,14,18,19,12,11,12,8,42,23,26,31,12
Polemoniaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Polygonaceae,UPHE,pollen,NISP,,2,,,,,,,,,,,,1,,1,2,,,1,,1,,,1,,,,,,,,,,,
Populus,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,33,12,10,8,19,7,10,5,9,5,11,13,17,9,7,6,11,5,13,8,11,12,10,7,10,4,12,4,5,4,8,12,16,16,4
Quercus,TRSH,pollen,NISP,,31,3,9,3,8,13,7,6,3,2,14,5,9,11,3,8,9,5,12,7,9,1,7,2,4,7,7,9,3,8,16,4,6,14,2
Ranunculaceae undiff.,UPHE,pollen,NISP,,20,4,,,2,,,1,,,,,,,,2,,,1,,,,,,,,,1,,,1,,2,5,1
Rosaceae,UPHE,pollen,NISP,,4,1,,1,,,,,,,,,,1,,,,,,2,,,,,2,,,,1,,3,1,1,2,
Rubiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,
Salix,TRSH,pollen,NISP,,,1,,4,,1,,6,5,4,10,16,27,3,3,4,4,1,1,2,2,,1,7,1,,,1,1,,9,2,3,1,5
Sarcobatus vermiculatus,TRSH,pollen,NISP,,2,,2,,2,1,,1,,,1,2,,1,1,,2,,,,1,2,2,,2,2,2,,1,1,,1,5,2,1
Sparganium,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,3,1,,,
Thalictrum,UPHE,pollen,NISP,,1,,,,1,,1,,1,1,,,,,5,5,,1,1,1,,,,1,3,3,,,,1,,,,1,1
Triglochin,AQVP,pollen,NISP,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typha,AQVP,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,,,,
Ulmus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,31,4,2,1,2,2,4,1,10,5,5,4,1,5,7,5,6,6,3,5,5,2,7,8,,1,1,4,4,1,9,8,12,29,7
Unknown (monolete),UNID,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,2,2,2
Unknown (trilete),UNID,spore,NISP,,,,,1,,,,,,,,,,,1,1,,,,1,,,1,3,,,,1,,,3,,1,1,4