"name","group","element","units","context","S430697","S430698","S430699","S430700","S430701","S430702","S430703","S430704","S430705","S430706","S430707"
AnalysisUnitName,,,,,,,,,,,,,,,
Depth,,,,,0,5,10,15,20,25,30,35,40,45,50
Thickness,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,
Sample ID,,,,,430697,430698,430699,430700,430701,430702,430703,430704,430705,430706,430707
SKOPE,Calibrated radiocarbon years BP,,,,-37/-40/-43,62/31/-2,172/116/83,359/254/167,508/394/286,641/533/427,791/667/561,951/794/655,1111/921/754,1256/1047/857,1407/1173/965
Anderson & Smith 2009,Calibrated radiocarbon years BP,,,,--/0/--,--/46/--,--/122/--,--/267/--,--/411/--,--/555/--,--/700/--,--/844/--,--/988/--,--/1133/--,--/1277/--
Abies,TRSH,pollen,NISP,,3,13,5,7,11,5,5,6,1,2,5
Alnus,TRSH,pollen,NISP,,2,,,5,1,14,25,45,30,11,45
Amaranthaceae,UPHE,pollen,NISP,,26,14,23,15,7,17,21,27,20,7,15
Ambrosia,UPHE,pollen,NISP,,26,8,15,14,7,6,10,9,7,3,6
Apiaceae,UPHE,pollen,NISP,,,2,1,1,,,1,6,,1,
Arceuthobium,TRSH,pollen,NISP,,,,1,1,4,2,,2,,,2
Artemisia,UPHE,pollen,NISP,,7,4,1,3,2,,10,10,8,,2
Asteraceae undiff.,UPHE,pollen,NISP,,15,5,12,10,6,9,22,40,43,1,18
Betula,TRSH,pollen,NISP,,,,,,,,,,,1,
Bistorta bistortoides,UPHE,pollen,NISP,,,,1,,,1,,,2,,
Brassicaceae,UPHE,pollen,NISP,,,,6,,,1,,,1,1,1
Caryophyllaceae,UPHE,pollen,NISP,,,1,1,,,,2,3,1,,
Ceanothus,TRSH,pollen,NISP,,2,,,,,,2,1,,,
Cercocarpus/Purshia,TRSH,pollen,NISP,,7,,3,7,4,5,8,6,4,2,5
Cupressaceae,TRSH,pollen,NISP,,,6,,11,4,6,,2,6,,3
Cyperaceae,UPHE,pollen,NISP,,29,5,4,26,150,234,83,38,31,6,19
Ephedra,TRSH,pollen,NISP,,,,,,2,,,,1,,1
Euphorbia,UPHE,pollen,NISP,,,,,,,,1,,,,
Fabaceae,UPHE,pollen,NISP,,,,1,,,,,,7,,
Galium,UPHE,pollen,NISP,,,,,,,,,,,,1
Geraniaceae,UPHE,pollen,NISP,,,,,,,,,1,,,
Indeterminable,UNID,pollen/spore,NISP,,11,22,17,5,1,13,8,10,6,3,11
Lamiaceae,UPHE,pollen,NISP,,,,,,1,,2,,,,
Liliaceae,UPHE,pollen,NISP,,,,,,,,2,,,,
Linum,UPHE,pollen,NISP,,,,,,,,,,,1,
Lycopodium spike,LABO,counted,number,,559,111,228,164,300,288,241,399,1268,403,517
Mimulus,UPHE,pollen,NISP,,,,,,,,,,1,,
Picea,TRSH,pollen,NISP,,4,6,1,2,17,7,10,4,5,,3
Pinus subsect. Cembroides,TRSH,pollen,NISP,,26,1,6,18,19,13,21,8,10,4,10
Pinus undiff.,TRSH,pollen,NISP,,155,70,86,133,206,208,157,126,118,35,82
Plantago,UPHE,pollen,NISP,,,,,,,,1,,,,
Poaceae,UPHE,pollen,NISP,,6,34,19,65,3,4,4,23,7,8,31
Populus,TRSH,pollen,NISP,,2,,,1,1,,,1,1,,1
Prunus/Amelanchier,TRSH,pollen,NISP,,,,,,,,,,,1,
Pseudotsuga,TRSH,pollen,NISP,,,3,4,5,,4,,3,,,2
Quercus,TRSH,pollen,NISP,,8,7,5,7,5,2,8,1,7,,2
Rhamnus,TRSH,pollen,NISP,,,,1,,,,,,,,
Rosaceae undiff.,UPHE,pollen,NISP,,,,1,1,,,1,,,1,
Salix,TRSH,pollen,NISP,,3,,,1,,2,,,1,,
Sarcobatus,TRSH,pollen,NISP,,,,,1,,,,,,,
Scrophulariaceae,UPHE,pollen,NISP,,,,1,1,,1,,1,,,
Symphoricarpos,TRSH,pollen,NISP,,,,,,,,1,,,,
Unknown (monolete),UNID,spore,NISP,,,,,,,,3,,1,,
Unknown undiff.,UNID,pollen/spore,NISP,,1,5,7,8,3,4,6,6,4,1,4