"name","group","element","units","context","S230949","S230950","S230951","S230952","S230953","S230954","S230955","S230956","S230957","S230958","S230959","S230960"
AnalysisUnitName,,,,,3,5,6,7,8,9,10,11,12,13,14,15
Depth,,,,,5,9,11,13,15,17,19,21,23,25,27,29
Thickness,,,,,,,,,,,,,,,,
Sample Name,,,,,,,,,,,,,,,,
Sample ID,,,,,230949,230950,230951,230952,230953,230954,230955,230956,230957,230958,230959,230960
Neotoma 1,Calibrated radiocarbon years BP,,,,180/20/-44,249/88/-8,293/121/11,324/168/37,385/214/62,409/261/126,437/308/172,468/354/234,490/397/313,542/442/347,565/480/390,600/518/418
Abies,TRSH,pollen,NISP,,1,10,7,6,2,3,3,4,,,1,1
Acer,TRSH,pollen,NISP,,2,,2,,,,1,,,,1,3
Algae,ALGA,palynomorph,NISP,,,10,3,9,28,2,7,,11,48,,
Alnus,TRSH,pollen,NISP,,,,,,,1,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,121,40,55,65,59,99,89,69,85,80,97,57
Apiaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,
Asteraceae undiff.,UPHE,pollen,NISP,,5,,,,4,,,2,,,8,
Asteroideae,UPHE,pollen,NISP,,19,17,20,20,,18,8,18,20,10,34,27
Betula,TRSH,pollen,NISP,,1,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,,,,,,,1,,,,,
Celastraceae,TRSH,pollen,NISP,,,1,,,,,,,,,,1
Cichorioideae,UPHE,pollen,NISP,,77,90,70,73,105,107,108,100,128,140,105,144
Cupressaceae,TRSH,pollen,NISP,,51,34,31,21,34,24,39,34,22,35,25,24
Cyperaceae,UPHE,pollen,NISP,,,,1,,,,,,,,,
Dryopteris-type,VACR,spore,NISP,,,,,,,,,,,,,1
Elaeagnus,TRSH,pollen,NISP,,4,,,,,,,,,,,
Ephedraceae,TRSH,pollen,NISP,,2,2,3,6,4,2,2,1,5,5,5,2
Equisetaceae,VACR,spore,NISP,,2,,,,,,,,,1,,
Euphorbiaceae,UPHE,pollen,NISP,,,1,1,,1,,,,,,1,
Fabaceae,UPHE,pollen,NISP,,4,1,2,,2,1,2,,,,,1
Galium-type,UPHE,pollen,NISP,,,,,,,,,,1,,,
Heracleum-type,UPHE,pollen,NISP,,1,,,,,,,,,,,
Indeterminable,UNID,pollen/spore,NISP,,13,30,40,40,36,56,49,50,58,99,84,75
Lamiaceae,UPHE,pollen,NISP,,,,,,,,,,,1,,
Lycopodium spike,LABO,counted,number,,64,47,67,95,125,82,83,151,109,136,165,168
Malva,UPHE,pollen,NISP,,,,,,1,,1,1,,,,
Picea,TRSH,pollen,NISP,,,2,7,2,,,2,1,,1,,
Pinaceae undiff.,TRSH,pollen,NISP,,91,75,87,102,89,49,64,135,34,60,46,22
Pinus edulis,TRSH,pollen,NISP,,16,72,46,29,94,22,27,23,32,37,9,11
Pinus ponderosa,TRSH,pollen,NISP,,5,31,11,9,26,9,10,7,3,,3,3
Pinus undiff.,TRSH,pollen,NISP,,169,72,69,84,64,87,66,35,65,14,72,73
Plantago-type,UPHE,pollen,NISP,,3,1,,1,,,,3,,,,
Poaceae,UPHE,pollen,NISP,,6,7,10,7,3,4,2,1,10,8,13,17
Polygonaceae,UPHE,pollen,NISP,,,,2,1,3,,1,,,1,,
Portulaca sp.,UPHE,pollen,NISP,,,,,,,1,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,8,3,,,3,,1,1,,,1,
Quercus,TRSH,pollen,NISP,,3,,1,1,,,,,,,1,1
Ranunculaceae,UPHE,pollen,NISP,,,,,,,,,,1,2,,3
Rhus-type,TRSH,pollen,NISP,,1,1,,,,,,,,,,
Rosaceae,UPHE,pollen,NISP,,17,6,10,3,10,9,13,16,22,12,18,25
Salix,TRSH,pollen,NISP,,3,8,17,15,11,4,4,1,3,,,1
Saxifraga-type,UPHE,pollen,NISP,,,,,,,,,1,,,,1
Solanaceae,UPHE,pollen,NISP,,,2,8,5,1,6,3,4,12,4,6,6
Typha,AQVP,pollen,NISP,,2,,,1,,,,,,,,
Ulmus,TRSH,pollen,NISP,,,,,1,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,,1,,,,,,,,,,
Urticaceae,UPHE,pollen,NISP,,,,,,,,,,1,,,
Yucca,SUCC,pollen,NISP,,,1,,1,1,1,,,,,1,
Zea,UPHE,pollen,NISP,,,,,1,,,,1,,,,1