"name","group","element","units","context","S136827","S136828","S136829","S136830","S136831","S136832","S136833","S136834","S136835","S136836","S136837","S136838","S136839","S136840","S136841","S136842","S136843","S136844","S136845","S136846","S136847","S136848","S136849","S136850","S136851","S136852","S136853","S136854","S136855","S136856","S136857","S136858","S136859","S136860","S136861","S136862","S136863","S136864","S136865","S136866","S136867","S136868","S136869","S136870","S136871","S136872","S136873","S136874","S136875","S136876","S136877","S136878"
AnalysisUnitName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depth,,,,,0,31,36,41,46,51,56,61,66,71,76,81,86,91,96,101,106,111,116,121,126,131,133.5,136,138.5,141,143.5,146,148.5,151,153.5,156,158.5,161,163.5,166,168.5,171,173.5,176,178.5,181,183.5,186,188.5,191,193.5,196,198.5,201,203.5,206
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,136827,136828,136829,136830,136831,136832,136833,136834,136835,136836,136837,136838,136839,136840,136841,136842,136843,136844,136845,136846,136847,136848,136849,136850,136851,136852,136853,136854,136855,136856,136857,136858,136859,136860,136861,136862,136863,136864,136865,136866,136867,136868,136869,136870,136871,136872,136873,136874,136875,136876,136877,136878
Neotoma 1,Calibrated radiocarbon years BP,,,,--/-29/--,4937/3872/2677,5153/4124/2964,5364/4376/3264,5563/4629/3547,5758/4883/3885,5959/5135/4187,6170/5387/4489,6370/5646/4827,6559/5900/5185,6766/6150/5509,6956/6410/5916,7215/6710/6199,7483/7024/6464,7681/7329/6790,7954/7546/6983,8223/7742/7156,8444/7935/7340,8663/8129/7522,8887/8326/7715,9083/8526/7927,9286/8723/8126,9392/8822/8228,9495/8921/8322,9577/9021/8421,9666/9119/8536,9754/9217/8643,9845/9315/8750,9935/9414/8864,10028/9513/8975,10103/9610/9093,10184/9708/9210,10280/9807/9329,10384/9908/9451,10500/10017/9554,10669/10132/9644,10793/10247/9742,10918/10363/9849,11045/10478/9956,11174/10594/10059,11335/10716/10150,11533/10843/10245,11691/10967/10341,11848/11094/10428,12018/11220/10521,12182/11343/10612,12347/11469/10709,12511/11598/10800,12658/11725/10905,12822/11851/11009,12974/11978/11117,13125/12106/11218
Abies,TRSH,pollen,NISP,,,,1,3,1,1,1,2,2,1,1,,,1,1,,,,,,,,1,1,2,,1,,1,1,,2,,,,1,2,,,,,,,,,,1,1,,1,,3
Alnus,TRSH,pollen,NISP,,1,1,,1,,3,4,3,,2,,1,2,3,1,1,1,1,2,2,1,1,2,,3,3,2,,1,5,,1,4,,,2,2,4,2,,1,2,1,,2,3,3,,,,1,1
Amaranthaceae undiff.,UPHE,pollen,NISP,,63,21,25,21,19,38,39,40,24,33,22,21,20,25,26,30,26,31,30,28,26,23,21,23,42,18,44,26,33,52,24,25,1,27,27,20,14,24,16,15,16,9,25,4,7,18,6,18,12,17,15,8
Ambrosia,UPHE,pollen,NISP,,31,17,2,17,25,45,35,22,7,21,15,27,27,23,16,15,16,17,26,15,21,22,11,13,27,12,24,24,19,36,15,12,,21,29,10,23,30,14,16,24,13,14,12,19,14,8,16,15,10,9,6
Apiaceae,UPHE,pollen,NISP,,3,5,,4,5,2,2,3,5,1,6,3,1,,5,6,4,1,2,6,8,6,1,4,2,2,2,1,,3,,1,3,1,2,2,3,1,,2,2,1,,,1,1,2,,,,,
Artemisia,UPHE,pollen,NISP,,133,83,75,87,97,114,110,66,75,72,63,81,64,47,64,120,64,88,49,86,59,66,61,52,112,80,132,100,89,139,115,67,18,101,82,39,116,128,122,80,121,83,122,84,91,96,96,80,99,101,76,122
Asteroideae undiff.,UPHE,pollen,NISP,,26,8,18,20,16,25,19,15,8,14,9,9,6,6,14,12,10,6,12,10,9,5,12,6,13,11,14,4,7,26,5,8,,15,14,4,17,11,3,11,9,3,1,1,2,4,5,1,3,2,7,13
Betula,TRSH,pollen,NISP,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
Bistorta officinalis,UPHE,pollen,NISP,,3,1,5,2,4,6,4,4,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Brassicaceae,UPHE,pollen,NISP,,1,1,2,1,,4,3,5,2,6,2,4,2,3,4,4,1,2,4,4,2,,3,2,4,,4,2,1,5,2,2,8,,2,,3,,,2,,1,,,,,2,,,1,3,1
Carya,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Caryophyllaceae,UPHE,pollen,NISP,,2,,,,1,,,,,,3,,1,1,1,4,1,,,,2,,,2,,,,1,,,,,106,,,,,1,,,,,1,,,,,,1,,,
Cichorioideae,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,
Cyperaceae,UPHE,pollen,NISP,,,,1,2,4,4,1,2,,2,5,4,2,1,1,3,1,1,4,3,5,2,1,2,4,4,6,7,4,8,,4,2,2,1,10,8,,1,1,,7,1,5,,2,4,6,4,3,1,4
Ephedra,TRSH,pollen,NISP,,5,1,,1,,3,,,1,,3,,1,1,3,2,2,2,,1,2,2,1,2,2,,1,3,2,3,,1,2,,1,,1,1,1,,2,1,,,,,,,,,,
Equisetum,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Ericales,TRSH,pollen,NISP,,10,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucalyptus spike,LABO,counted,number,,87,164,91,141,109,117,92,130,123,103,217,95,199,136,159,123,210,174,168,149,190,119,202,166,199,127,117,104,98,98,151,99,141,110,105,103,93,158,110,105,256,58,90,132,111,131,120,635,256,166,120,108
Indeterminable,UNID,pollen/spore,NISP,,23,33,27,21,24,35,32,29,19,21,23,33,19,29,22,29,25,20,20,30,25,22,19,18,17,9,44,21,15,23,26,21,11,15,15,9,22,16,23,18,25,8,17,9,17,19,24,13,15,16,20,11
Juglans,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Juniperus,TRSH,pollen,NISP,,1,,,,1,1,1,,,,1,2,3,,,,3,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,
Lycopodium annotinum,VACR,spore,NISP,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menyanthes trifoliata,AQVP,pollen,NISP,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nuphar,AQVP,pollen,NISP,,1,,,,,1,,,,,,,,1,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,3,1,1,1,2,5,,,4,2,
Onagraceae,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,71,,1,,,,,,,,,,,,,,1,,,
Pediastrum,ALGA,colony,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phlox,UPHE,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,
Picea,TRSH,pollen,NISP,,34,19,22,34,17,52,48,39,30,36,27,22,23,37,27,34,23,27,34,48,38,28,27,35,47,27,41,32,43,72,39,31,24,35,41,39,38,46,31,22,25,16,42,17,28,19,22,26,23,17,28,30
Pinus,TRSH,pollen,NISP,,147,77,78,118,86,184,147,118,69,96,67,75,84,80,78,101,79,90,96,136,105,81,110,91,181,123,191,135,177,299,154,162,218,182,200,149,220,208,186,154,160,141,236,162,145,138,122,102,140,124,145,109
Poaceae,UPHE,pollen,NISP,,88,107,65,103,98,103,109,69,78,92,100,97,87,55,67,62,59,68,59,75,67,71,55,66,66,42,91,56,55,79,26,49,,56,50,29,55,46,35,28,38,43,47,34,21,29,33,41,31,29,28,40
Polemonium,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polypodiophyta,VACR,spore,NISP,,3,3,2,6,7,7,3,4,1,6,7,7,5,4,2,11,6,6,5,4,5,4,2,8,7,2,6,3,3,6,4,5,6,8,5,6,3,9,4,4,11,4,7,6,5,5,3,3,4,2,6,3
Populus,TRSH,pollen,NISP,,,,,,3,,3,,6,,4,,6,1,,,1,,1,,1,,,,,,,3,1,4,,,,2,,6,,,,,1,,,1,,,,,,,,3
Potentilla,UPHE,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pseudotsuga,TRSH,pollen,NISP,,2,2,,,1,2,1,,,1,1,,2,,,1,,2,1,,,,1,,,,,1,1,,,1,1,1,2,1,,,,1,,1,,,,,,,,2,,
Quercus,TRSH,pollen,NISP,,7,3,,6,,9,1,13,3,5,,5,2,7,,4,3,1,4,2,8,7,3,3,15,,5,3,,7,2,,1,1,2,17,1,,1,,1,3,,1,,2,2,,1,2,1,
Ranunculus,UPHE,pollen,NISP,,4,1,,1,3,,4,3,7,1,2,,9,1,8,,9,2,3,1,4,3,,4,1,,1,7,2,4,2,2,3,2,3,9,3,2,,1,,6,2,2,,1,,2,,2,2,7
Rosaceae undiff.,UPHE,pollen,NISP,,,2,,1,,2,2,,2,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,2
Rubus,TRSH,pollen,NISP,,,,,3,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
Rumex,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Salix,TRSH,pollen,NISP,,2,,2,2,6,7,5,1,2,,5,3,4,2,,6,3,1,4,3,4,2,5,2,2,3,6,3,1,4,,2,2,4,,1,3,2,,,1,,,,,1,,2,,1,,1
Sarcobatus vermiculatus,TRSH,pollen,NISP,,8,,2,4,4,12,4,3,4,2,2,5,2,4,1,5,2,1,4,1,2,6,3,2,4,6,10,3,10,11,,1,9,6,3,,4,2,6,8,4,2,5,2,3,3,3,2,1,1,,2
Saxifraga oppositifolia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Saxifragaceae undiff.,UPHE,pollen,NISP,,3,1,3,3,,2,3,1,1,1,1,,1,3,,2,,,1,,,1,1,3,1,1,1,,2,2,1,,6,,,5,,,,,,,,,,1,,,,,,
Selaginella densa,VACR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Sparganium,AQVP,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,1,,1,,,,,,,,1,,,,,
Sphagnum,AQBR,spore,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thalictrum,UPHE,pollen,NISP,,7,,7,4,10,6,10,4,4,3,,9,2,5,3,7,4,1,5,8,1,4,3,1,4,7,4,7,3,,1,2,4,2,1,1,3,2,1,1,6,2,1,1,2,2,,,2,3,,2
Typha,AQVP,pollen,NISP,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Unknown,UNID,pollen/spore,NISP,,1,2,2,2,,2,2,1,,1,2,1,,,,,,,2,,1,1,1,,,,,2,1,,2,,1,3,,,2,,1,,,,,,,,1,,,,,
Unknown (trilete) undiff.,UNID,spore,NISP,,1,2,3,6,2,7,5,2,2,2,1,,2,2,4,2,2,4,,1,4,2,7,5,11,3,19,5,11,16,7,5,9,8,3,3,9,3,4,10,2,4,,,3,1,1,,3,,2,
Urtica,UPHE,pollen,NISP,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,2,,