site.id,dataset.id,sample.id,age
2785,2880,54379,-0.033444816
2785,2880,54380,102
2785,2880,54381,229
2785,2880,54382,367
2785,2880,54383,505
2785,2880,54384,630
2785,2880,54385,755
2785,2880,54386,888
2785,2880,54387,1020
2785,2880,54388,1141
2785,2880,54389,1261
2785,2880,54390,1390
2785,2880,54391,1520
2785,2880,54392,1652
2785,2880,54393,1785
2785,2880,54394,1918
2785,2880,54395,2053
2785,2880,54396,2305
2785,2880,54397,2396
2785,2880,54398,2442
2785,2880,54399,2489
2785,2880,54400,2535
2785,2880,54401,2581
2785,2880,54402,2626
2785,2880,54403,2670
2785,2880,54404,2719
2785,2880,54405,2768
2785,2880,54406,2859
2785,2880,54407,2949
2785,2880,54408,3042
2785,2880,54409,3134
2785,2880,54410,3250
2785,2880,54411,3371
2785,2880,54412,3499
2785,2880,54413,3624
2785,2880,54414,3747
2785,2880,54415,3870
2785,2880,54416,3997
2785,2880,54417,4126
2785,2880,54418,4250
2785,2880,54419,4376
2785,2880,54420,4502
2785,2880,54421,4611
2785,2880,54422,4712
2785,2880,54423,4808
2785,2880,54424,4906
2785,2880,54425,5001
2785,2880,54426,5103
2785,2880,54427,5202
2785,2880,54428,5343
2785,2880,54429,5528
2785,2880,54430,5717
2785,2880,54431,5899
2785,2880,54432,6096
2785,2880,54433,6291
2785,2880,54434,6472
2785,2880,54435,6659
2785,2880,54436,6814
2785,2880,54437,6937
2785,2880,54438,7055
2785,2880,54439,7176
2785,2880,54440,7298
2785,2880,54441,7420
2785,2880,54442,7536
2785,2880,54443,7674
2785,2880,54444,7850
2785,2880,54445,8030
2785,2880,54446,8216
2785,2880,54447,8396
2785,2880,54448,8578
2785,2880,54449,8761
2785,2880,54450,8944
2785,2880,54451,9097
2785,2880,54452,9193
2785,2880,54453,9291
2785,2880,54454,9387
2785,2880,54455,9483
2785,2880,54456,9578
2785,2880,54457,9672
2785,2880,54458,9771
2785,2880,54459,9869
2785,2880,54460,9964
2785,2880,54461,10064
2785,2880,54462,10216
2785,2880,54463,10367
2785,2880,54464,10514
2785,2880,54465,10661
2785,2880,54466,10812
2785,2880,54467,10962
2785,2880,54468,11109
2785,2880,54469,11262
2785,2880,54470,11265
2785,2880,54471,11411